Unnamed: 0,disease,symptoms
684,Respiratory Syncytial Virus,"fever, congested or runny nose, dry cough, low-grade fever, sore throat, sneezing, headache, wheezing, severe cough, rapid breathing, difficulty breathing, bluish color of the skin, short runny nose, cough, shallow, rapid breathing, struggling to breathe, poor feeding, unusual tiredness, lethargy, irritability, trouble breathing"
685,Restless Legs Syndrome,"urge to move the legs, crawling, creeping, pulling, throbbing, aching, itching, electric, desire to move the legs, leg twitching, unpleasant sensations in the legs or feet"
686,Retinal Detachment,"floaters, flashes of light, blurred vision, reduced side vision, curtain-like shadow"
687,Retinal Diseases,"seeing floating specks, seeing cobwebs, blurred vision, distorted vision, defects in side vision, lost vision"
688,Retinoblastoma,"eyes that appear to be looking in different directions, poor vision, eye redness, eye swelling"
689,Retractile Testicle,"testicle may be moved by hand from the groin into the scrotum, won't immediately retreat to the groin, testicle might spontaneously appear in the scrotum, remain there for a time, testicle might spontaneously disappear again for a time"
690,Retrograde Ejaculation,"dry orgasms, cloudy urine after orgasm, male infertility"
691,Rett Syndrome,"abnormal hand movements, loss of social interaction, loss of communication, grasping of hair or clothing, intellectual disabilities, fears, anxiety, seizures, swallowing air, shallow breathing, apnea, irritability, crying, muscle weakness, muscle stiffness, reduced mobility, blinking, loss of skills, breath holding, falling asleep during the day, awake at night, odd facial expressions, long bouts of laughter, waking in the night with crying, screaming, slowed growth, microcephaly, problems with movement, problems with coordination, purposeless hand movements, decreased response to pain, small hands, cold feet, problems with chewing, problems with swallowing, problems with bowel function, teeth grinding, loss of language, intense staring, slowed head growth, delayed growth, reduced hand control, decreasing ability to crawl, decreasing ability to walk, unusual eye movements, irregular heartbeat, sleep disturbances, hand-wringing, delays in sitting, delays in crawling, unusual movement, unusual positioning, hand licking, hyperventilating, joint contractures, scoliosis, rapid breathing, crossed eyes"
692,Rhabdomyosarcoma,"headache, bulging or swelling of the eyes, bleeding in the nose, swelling or a lump in the arm or leg, pain in the affected area, trouble urinating, blood in the urine, difficulty with bowel movements, bleeding in the vagina or rectum"
693,Rheumatoid Arthritis,"tender joints, swollen joints, joint stiffness, fatigue, fever, loss of appetite"
694,Rickets,"delayed growth, delayed motor skills, pain in the spine, bowed legs, knock knees, thickened wrists, ankles, breastbone projection, bone pain, muscle weakness, skeletal deformities"
695,Ringworm Body,"itchiness, itchy skin"
696,Rosacea,"bulbous nose, facial blushing, flushing, visible veins, spider veins, swollen bumps, pimples, pus, burning sensation, dry eyes, irritated eyes, swollen eyes, swollen eyelids, enlarged nose"
697,Roseola,"fever, rash, irritability, mild diarrhea, decreased appetite, swollen eyelids, sore throat, runny nose, cough, swollen lymph nodes"
698,Rotator Cuff Injury,"dull ache deep in the shoulder, disturb sleep, difficult to comb your hair, difficult to reach behind your back, arm weakness"
699,Rotavirus,"fever, vomiting, watery diarrhea, abdominal pain"
700,Rubella,"aching joints, mild fever, headache, stuffy or runny nose, itchy eyes, rash, tender lymph nodes"
701,Rumination Syndrome,"effortless regurgitation, abdominal pain, abdominal pressure, feeling of fullness, bad breath, nausea, unintentional weight loss"
702,Ruptured Eardrum,"ear pain, mucuslike drainage, pus-filled drainage, bloody drainage, hearing loss, ringing in the ear, spinning sensation, nausea, vomiting"
703,Ruptured Spleen,"pain in the upper left abdomen, tenderness, left shoulder pain, confusion, lightheadedness, dizziness"
704,Sacral Dimple,"weakness or numbness in the legs, bladder or bowel incontinence"
705,Sacroiliitis,pain
706,Salivary Gland Cancer,"lump, swelling, numbness, muscle weakness, pain, difficulty swallowing, trouble opening mouth widely"
707,Salmonella,"diarrhea, stomach (abdominal) cramps, fever, nausea, vomiting, chills, headache, blood in the stool"
708,Sarcoma,"lump, bone pain, broken bone, abdominal pain, weight loss, swelling"
709,Sars,"fever, chills, headache, diarrhea, muscle aches, dry cough, shortness of breath"
710,Scabies,"itching, wavy tunnels, blisters, bumps"
711,Scarlet Fever,"red rash, sunburn-like rash, sandpaper-like rash, fever, red lines, flushed face, strawberry tongue, chills, sore throat, red throat, difficulty swallowing, enlarged glands in the neck, nausea, vomiting, abdominal pain, headache, body aches"
712,Schizoaffective Disorder,"psychotic symptoms, academic, social functioning problems, problems with managing personal care, delusions, impaired occupational functioning, mania, depression, depressed mood, manic mood, hallucinations, fixed beliefs, sad, worthless, incoherent, bizarre or unusual behavior, feeling empty, impaired communication, impaired speech, increased energy, decreased need for sleep"
713,Schizotypal Personality Disorder,"being a loner, lacking close friends, flat emotions, limited emotional responses, inappropriate emotional responses, persistent social anxiety, excessive social anxiety, incorrect interpretation of events, psychotic episodes, delusions, hallucinations, suspicious thoughts, paranoid thoughts, constant doubts about loyalty of others, belief in special powers, eccentric thinking, unusual thinking, underperformer in school, socially out of step with peers, rambling, feeling that something harmless has a direct personal meaning, peculiar style of speech, increased interest in solitary activities, unusual perceptions, sensing an absent person's presence, having illusions, dressing in peculiar ways, vague speaking, unusual patterns of speaking"
714,Sciatica,"pain, ache, burning pain, jolt, electric shock, numbness, tingling, muscle weakness"
715,Scleroderma,"painful, numb, blue or red, dizziness, shortness of breath, hardening of the skin, tightening of the skin, swelling, itchiness, lighter or darker skin color, shiny skin, red spots, heartburn, difficulty swallowing, bloating, diarrhea, constipation, fecal incontinence, irregular heartbeats, heart failure, white digits"
716,Scoliosis,"uneven shoulders, prominent shoulder blade, uneven waist, high hip, rib cage jutting forward, prominence on one side of the back when bending forward"
717,Scorpion Stings,"pain, nausea, vomiting, hives, drooling, sweating, high blood pressure, accelerated heart rate, restlessness or excitability, inconsolable crying, trouble breathing, numbness, tingling, slight swelling, warmth, difficulty breathing, muscle twitching or thrashing, unusual head"
718,Scrotal Masses,"pain, swelling in the scrotum, redness of the skin of the scrotum, nausea, vomiting, fever, urinary frequency, pus in the urine, blood in the urine, lump, aching pain, feeling of heaviness in the scrotum, pain that radiates throughout the groin, abdomen or lower back, swollen epididymis, hardened epididymis, swollen testicle, hardened testicle, tender"
719,Seasonal Affective Disorder,"agitation, irritability, depression, anxiety, episodes of mania, craving for foods high in carbohydrates, weight gain, tiredness, low energy, trouble sleeping (insomnia), poor appetite, weight loss, oversleeping, appetite changes, losing interest in activities, feeling sluggish, carbohydrate cravings, overeating, difficulty concentrating, feeling hopeless, sad or down, feeling listless, worthless, guilty, thoughts of not wanting to live"
720,Seborrheic Dermatitis,"flaking skin (dandruff), greasy skin, white or yellow scales, crust, itchiness (pruritus), fatigue, rash, ring-shaped (annular) rash"
721,Seborrheic Keratosis,itchiness
722,Secondary Hypertension,"high blood pressure that doesn't respond to blood pressure medications (resistant hypertension), very high blood pressure, high blood pressure that no longer responds to medication that previously controlled the blood pressure, sudden-onset high blood pressure before age 30 or after age 55, no family history of high blood pressure, no obesity"
723,Separation Anxiety Disorder,"distress about being away from home or loved ones, refusing to be away from home, not wanting to be home alone, reluctance to sleep away from home, nightmares about separation, headaches, excessive worry about losing a parent or other loved one, stomachaches, intense anxiety, fear or terror"
724,Sepsis,"change in mental status, not being able to stand up, strong sleepiness, hard time staying awake, shallow breathing, sweating, feeling lightheaded, shivering, extreme confusion, painful urination, worsening cough"
725,Serotonin Syndrome,"agitation, restlessness, insomnia, confusion, rapid heart rate, high blood pressure, dilated pupils, loss of muscle coordination, twitching muscles, muscle rigidity, heavy sweating, diarrhea, headache, shivering, goose bumps, high fever, tremor, seizures, irregular heartbeat, unconsciousness"
726,Shaken Baby Syndrome,"extreme fussiness, irritability, difficulty staying awake, breathing problems, poor eating, vomiting, pale skin, bluish skin, seizures, paralysis, coma"
727,Shellfish Allergy,"hives, itchy, choking, wheezing, trouble breathing, shock, diarrhea, face, irritated skin, nasal stuffiness, congestion, swelling of the lips, swollen throat, swollen tongue, tightness in the throat, airway constriction, coughing, nausea, lightheadedness, fainting, vomiting, dizziness, abdominal pain, rapid pulse, weak pulse, severe skin rash"
728,Shigella,"diarrhea, stomach pain, cramps, fever, nausea, vomiting"
729,Shin Splints,"shin pain, soreness, pain, swelling, tenderness"
730,Shingles,"pain, tingling sensation, burning, sensitivity to touch, red rash, fluid-filled blisters, itching, fever, headache, sensitivity to light, fatigue"
731,Sick Sinus Syndrome,"palpitations, chest pain, confusion, dizziness, lightheadedness, fainting, fatigue, shortness of breath, bradycardia"
732,Sickle Cell Anemia,"anemia, pain, swelling of hands, feet, frequent infections, delayed growth or puberty, vision problems, fatigue, ulcers"
733,Sinus Headaches,"pain, migraines, worsening pain if you bend forward or lie down, stuffy nose, fatigue, achy feeling in the upper teeth, congestion, discolored nasal mucus, decreased sense of smell, pain in one cheek or upper teeth, facial pressure, pressure, fullness in the cheeks, thick nasal discharge, watery nasal discharge"
734,Sjogrens Syndrome,"itch, gritty eyes, dry mouth, difficulty swallowing, difficulty speaking, joint pain, swollen salivary glands, skin rashes, dry skin, vaginal dryness, dry cough, fatigue"
735,Skin Cancer,"painless, bump that's skin-colored or pink, mole that changes size, painful lesion that itches or burns, dark lesions on palms, bump that's skin-colored, flesh-colored or bluish-red nodule growing on your skin, flesh-colored or brown scar-like lesion, bleeding or scabbing sore that heals, returns, brownish spot with darker speckles, mole that changes in color, shape or color, irregular border, red, white, pearly or waxy bump, flat, shiny nodules, red or purple patches, hard, painless nodules"
736,Sleep Disorders,"being very sleepy during the daytime, trouble falling asleep at night, falling asleep at inappropriate times, breathing in an unusual pattern, uncomfortable urge to move, unusual or bothersome movements or experiences during sleep, irregular sleep, wake cycle"
737,Sleep Terrors,"frightening scream or shout, sit up in bed, appear frightened, stare wide-eyed, sweat, confused if awakened, inconsolable, racing pulse, breathe heavily, flushed face, dilated pupils, kick, thrash, hard to awaken, get out of bed, run around the house, aggressive behavior"
738,Small Bowel Cancer,"abdominal pain, jaundice, feeling unusually weak or tired, nausea, vomiting, losing weight without trying, blood in the stool, watery diarrhea, skin flushing"
739,Small Vessel Disease,"chest pain, back or abdomen along with chest pain, shortness of breath, tiredness, lack of energy, jaw, neck, squeezing or discomfort (angina), discomfort in the left arm"
740,Smallpox,"sores, red spots, fever, muscle aches, headache, severe fatigue, severe back pain, vomiting, blisters, pustules, rash, pitted scars"
741,Snoring,"snoring, loud snort, gasping sound, disrupted sleep, breathing pauses, behavioral issues, poor performance in school, daytime sleepiness, difficulty concentrating, morning headaches, sore throat upon awakening, restless sleep, gasping or choking at night, high blood pressure, chest pain at night, poor attention span"
742,Social Anxiety Disorder,"crying, blushing, fast heartbeat, trembling, sweating, upset stomach, nausea, trouble catching your breath, dizziness, lightheadedness, muscle tension, fear, shaky voice, panic"
743,Soft Palate Cancer,"bleeding, difficulty swallowing, difficulty speaking, bad breath, mouth pain, sores in your mouth that won't heal, loose teeth, pain when you swallow, weight loss, ear pain, swelling in your neck that may hurt, white patches in your mouth that won't go away"
744,Soft Tissue Sarcoma,"lump, swelling, pain"
745,Somatic Symptom Disorder,"specific sensations, thinking that physical sensations are threatening or harmful, feeling that medical evaluation, treatment have not been adequate, fearing that physical activity may cause damage to your body, constant worry about potential illness, viewing normal physical sensations as a sign of severe physical illness, pain, multiple symptoms, varying symptoms, fatigue, weakness, shortness of breath"
746,Specific Phobias,"anxiety, panic, rapid heartbeat, tight chest, difficulty breathing, nausea, vomiting, sweating, dizziness, fainting, crying, tantrums"
747,Spermatocele,"pain or discomfort in the affected testicle, heaviness in the testicle, fullness behind, above the testicle"
748,Spider Bites,"redness, cramping, abdominal rigidity, chills, body aches, pale center, dark blue or purple skin, red ring around bite, open sore, ulcer, skin dying, inflamed, pain, swelling, itchy bump, painful bump, tremors, sweating, fever, nausea, vomiting"
749,Spina Bifida,"small dimple, birthmark, tuft of hair, problems with bladder function, problems with bowel function"
750,Spinal Arteriovenous Malformation,"problems with walking or climbing stairs, numbness, severe back pain, lack of feeling in the legs, difficulty urinating or having bowel movements, headache, stiff neck, sensitivity to light, tingling or sudden pain in the legs, weakness on one or both sides of the body"
751,Spinal Cord Tumor,"pain at the site of the tumor, back pain, muscle weakness, loss of bowel or bladder function, difficulty walking, loss of sensation, feeling less sensitive to pain"
752,Spinal Stenosis,"foot or arm problems with walking, balance, neck pain, problems with the bowel or bladder, leg pain or cramping, back pain, numbness, tingling, weakness in a hand"
753,Spontaneous Coronary Artery Dissection,"chest pain, rapid heartbeat, fluttery feeling, pain in the arms, pain in the back, pain in the jaw, shortness of breath, sweating, tiredness, nausea, dizziness"
754,Sprained Ankle,"pain, tenderness, swelling, bruising, restricted range of motion, instability, popping sensation"
755,Squamous Cell Carcinoma,"raised patch or wartlike sore, red nodule, flat sore with a scaly crust, new sore or raised area on an old scar or ulcer, rough scaly patch on lip, open sore, red sore, rough patch inside mouth, firm"
756,Staph Infections,"red bumps, rash, blisters, joint swelling, severe pain in the affected joint, fever, low blood pressure, pus, nausea, vomiting, diarrhea, dehydration, painful rash, large blisters, oozing fluid, honey-colored crust, cellulitis, redness, swelling, sores, oozing discharge, painful abscesses, high fever, confusion, muscle aches, stomach pain, red skin, raw surface, sunburn, meningitis"
757,Stomach Cancer,"trouble swallowing, belly pain, feeling bloated after eating, feeling full after eating small amounts of food, not feeling hungry, heartburn, indigestion, nausea, vomiting, losing weight without trying, feeling very tired, stools that look black, fluid to fill the belly, swollen belly, pain in the upper part of the belly, vomiting blood, lumps you can feel through the skin, yellowing of the skin, yellowing of the whites of the eyes"
758,Strep Throat,"throat pain, difficulty swallowing, inflammation, red spots, painful swallowing, red, swollen tonsils, body aches, white patches or streaks of pus, tiny red spots on the roof of the mouth, swollen lymph nodes in neck, tender lymph nodes in neck, fever, headache, rash, nausea, vomiting"
759,Stress Fractures,"tenderness, swelling, pain"
760,Stress Incontinence,involuntary urine loss
761,Stretch Marks,"stretch marks, black streaks, blue streaks, purple streaks, bright streaks, discolored"
762,Stroke,"numbness, dizziness, altered consciousness, trouble walking, stumbling, loss of balance, mouth may droop, blurred vision, blackened vision, double vision, headache, trouble speaking, difficulty understanding speech, confusion, slurred words, paralysis of the face, weakness in the face, vomiting"
763,Sty,"red lump on your eyelid, eyelid pain, eyelid swelling, tearing"
764,Subconjunctival Hemorrhage,scratchy feeling
765,Sudden Cardiac Arrest,"sudden collapse, no pulse, no breathing, loss of consciousness, chest discomfort, shortness of breath, weakness, palpitations"
766,Suicide,"feeling trapped, hopelessness, increased alcohol/drug use, changes in eating/sleeping patterns, risky/self-destructive behavior, preoccupation with death, social withdrawal, mood swings, personality changes, anxiety, agitation"
767,Sun Allergy,"rash, raised areas, blisters, itchiness, stinging, tiny bumps, raised patches, flushing, hives"
768,Suspicious Breast Lumps,"lumpy or ropy breast tissue, tenderness, dimpled or pitted skin, change in breast size, change in breast shape, irregular-shaped breast lump, skin redness, fluid leaking from nipple, painless breast lump, discharge from nipple, fullness in breasts, ridgelike areas in breasts"
769,Sweating And Body Odor,"sweat much more or less than usual, sweating disrupts your daily routine, night sweats, change in body odor"
770,Swimmers Ear,"itching in your ear canal, slight redness inside your ear, mild discomfort, drainage of clear, complete blockage of your ear canal, redness or swelling of your outer ear, swelling in the lymph nodes in your neck, fever, more-intense itching, increasing pain, more-extensive redness in your ear, excessive fluid drainage, feeling of fullness inside your ear, partial blockage of your ear canal, decreased or muffled hearing, severe pain"
771,Swimmers Itch,"itchy rash, pimples, blisters"
772,Syphilis,"painless sores (chancres) on the genitals, fever, sore throat, swollen lymph nodes, rash on the palms of their hands, rash on the soles of their feet, deafness, muscle aches, teeth deformities, saddle nose, hair loss, wartlike sores in mouth or genital area, itchy rash"
773,Systemic Mastocytosis,"flushing, hives, diarrhea, fainting, itching, abdominal pain, rapid heartbeat, loss of consciousness, shock, mood changes, problems concentrating, nausea, vomiting, anemia, bleeding disorders, bone pain, muscle pain, enlarged liver, depression, osteoporosis, organ failure, poor blood clotting, peptic ulcer disease, reduced bone density"
774,Tachycardia,"palpitations, chest pain, syncope, lightheadedness, rapid pulse rate, shortness of breath"
775,Takayasus Arteritis,"difficulty getting a blood pressure, difference in blood pressure between your arms, lightheadedness, dizziness, fainting, headaches, visual changes, memory problems, trouble thinking, chest pain, shortness of breath, high blood pressure, diarrhea, blood in your stool, anemia, weakness in your limbs with use, pain in your limbs with use, weak pulse, night sweats, fatigue, unintended weight loss, muscle aches, pains, joint aches, pains, mild fever"
776,Tapeworm,"upset stomach, lump, pain, swelling, feeling like you could throw up, stomachache, stomach pain, not wanting to eat, loose stools, diarrhea, weight loss, gas, hunger pains, cravings for salty food, headache, seizures, dizziness, nerve pain in the spine or limbs, muscle weakness, poor coordination, changes in thinking or behaviors"
777,Tay Sachs Disease,"exaggerated startle response, cherry-red spots in the eyes, loss of motor skills, muscle weakness, clumsiness, loss of coordination, tremors, muscle spasms, loss of the ability to walk, problems speaking, problems swallowing, psychiatric disorders, loss of mental function, paralysis, movement problems, seizures, vision loss, blindness, hearing loss, deafness, lack of response to surroundings, growth in head size, behavior problems, gradual loss of skills, movement control, frequent respiratory infections, slow loss of vision, speech, decline in mental function, responsiveness"
778,Temporal Lobe Seizure,"sudden sense of unprovoked fear, joy, deja vu experience, strange odor, strange taste, rising sensation in the abdomen, loss of awareness of surroundings, staring, lip smacking, repeated swallowing, repeated chewing, unusual finger movements, convulsions, loss of consciousness, confusion, difficulty speaking, inability to recall what occurred during the seizure, unawareness of having had a seizure, sleepiness"
779,Tendinitis,"pain, tenderness, swelling, ache"
780,Testicular Cancer Care,"pain, swelling, lumps, feeling of heaviness in the scrotum, dull ache in the lower belly, groin, discomfort in a testicle, enlargement of the breast tissue, tenderness of the breast tissue, back pain"
781,Testicular Torsion,"sudden severe pain in the scrotum, swelling of the scrotum, abdominal pain, nausea, vomiting, a testicle that's positioned higher than normal or at an unusual angle, frequent urination, fever, scrotal pain"
782,Tetanus,"painful muscle spasms, stiff, muscle rigidity in the neck, muscle rigidity in the abdomen, breathing difficulties, immovable muscles (muscle rigidity) in your jaw, tension of muscles around your lips, high blood pressure, low blood pressure, rapid heart rate, fever, extreme sweating, muscle spasms, painful spasms, rigidity in your neck muscles, difficulty swallowing, rigid abdominal muscles"
783,Thalassemia,"fatigue, weakness, pale or yellowish skin, facial bone deformities, slow growth, abdominal swelling, dark urine"
784,Throat Cancer,"cough, changes in your voice, hoarseness, not speaking clearly, difficulty swallowing, ear pain, lump, sore that doesn't heal, sore throat, weight loss"
785,Thrombocytopenia,"easy or excessive bruising (purpura), superficial bleeding into the skin that appears as a rash of pinpoint-sized reddish-purple spots (petechiae), prolonged bleeding from cuts, bleeding from your gums or nose, blood in urine or stools, unusually heavy menstrual flows, fatigue, enlarged spleen"
786,Thrombocytosis,"headache, confusion, changes in speech, chest pain, shortness of breath, nausea, weakness, burning pain in the hands or feet, nosebleeds, bruising, bleeding from mouth or gums, bloody stool"
787,Thumb Arthritis,"pain, swelling, stiffness, tenderness, decreased strength, decreased range of motion, enlarged or bony appearance of the joint"
788,Thunderclap Headaches,"pain, nausea, vomiting, altered mental state, fever, seizures"
789,Tinea Versicolor,"patches of skin discoloration, itching, scaling"
790,Tinnitus,"ringing in the ears, buzzing, roaring, clicking, hissing, humming, pulsatile tinnitus, phantom noises, rhythmic pulsing, whooshing sound"
791,Tmj,"pain or tenderness of your jaw, pain in one or both of the temporomandibular joints, aching pain in, around your ear, difficulty chewing, pain while chewing, aching facial pain, locking of the joint, making it difficult to open or close your mouth, clicking sound, grating sensation"
792,Tongue Tie,"difficulty lifting the tongue to the upper teeth, moving the tongue from side to side, trouble sticking out the tongue past the lower front teeth, tongue that appears notched, tongue that appears heart shaped"
793,Tonsil Cancer,"difficulty swallowing, sensation that something is caught in the back of your throat, swelling, pain in the neck, earache, jaw stiffness"
794,Tonsillitis,"muffled or throaty voice, bad breath, stomachache, neck pain or stiff neck, headache, drooling, painful swallowing, refusal to eat, fussiness, swollen tonsils, white or yellow coating or patches on the tonsils, sore throat, difficult swallowing, fever, enlarged glands, tender glands, scratchy throat"
795,Tooth Abscess,"difficulty breathing, difficulty swallowing, pain, discomfort with hot, cold temperatures, discomfort with pressure of chewing, discomfort with pressure of biting, fever, swelling in face, salty fluid in mouth, swollen lymph nodes, foul odor in mouth, throbbing toothache"
796,Torn Meniscus,"popping sensation, swelling, stiffness, pain, difficulty straightening knee, knee locked, knee giving way"
797,Tourette Syndrome,"tingle, tension, eye blinking, head jerking, shoulder shrugging, eye darting, nose twitching, mouth movements, touching or smelling objects, repeating observed movements, stepping in a certain pattern, obscene gesturing, bending or twisting, hopping, grunting, repeating one's own words or phrases, coughing, repeating others' words or phrases, throat clearing, using vulgar words, using obscene words, using swear words, barking, itch"
798,Toxic Epidermal Necrolysis,"widespread skin pain, spreading rash, blisters, peeling skin, sores, swelling, crusting on the mucous membranes"
799,Toxic Hepatitis,"jaundice, itching, abdominal pain, fatigue, loss of appetite, nausea, vomiting, rash, fever, weight loss, dark urine"
800,Toxic Shock Syndrome,"sudden high fever, low blood pressure, vomiting, diarrhea, rash resembling a sunburn, seizures, headaches, confusion, muscle aches, redness of your eyes"
801,Toxoplasmosis,"confusion, poor coordination, muscle weakness, seizures, changes in alertness, severe eye infection, irregularities in brain tissues, enlarged liver or spleen, problems with mental or motor skills, blindness, vision problems, hearing problems, heart disorders, jaundice, rash, return of eye infections, problems with motor skill development, problems with thinking, learning, hearing loss, slowed growth, early puberty, fever, swollen lymph nodes, headache, muscle aches, skin rash, eye pain, poor vision, floaters, breathing problems, cough"
802,Trachoma,"itching, irritation, eye discharge, mucus, pus, eyelid swelling, light sensitivity, photophobia, eye pain, eye redness, vision loss, inflammation, follicles, bumps, corneal clouding, opacity, eyelid scarring, white lines, distorted eyelid, entropion, trichiasis, in-turned eyelashes"
803,Transient Global Amnesia,"unable to create new memories, remember the recent past, memory loss, movements you can't control, problems understanding words, confusion, repetitive questioning"
804,Transposition Of The Great Arteries,"blue color of the skin (cyanosis), shortness of breath, weak pulse, lack of appetite, poor weight gain"
805,Transverse Myelitis,"weakness, heaviness in the legs, pain, numbness, coldness, burning, sensitivity to light touch, sensitivity to heat, sensitivity to cold, difficulty urinating, constipation, stumbling, dragging one foot, paralysis, needing to urinate more frequently, tingling, urinary incontinence"
806,Traumatic Brain Injury,"bad taste in the mouth, changes in the ability to smell, sensitivity to light, sensitivity to sound, loss of consciousness, persistent headache, headache that worsens, repeated vomiting, nausea, convulsions, seizures, dilation of one or both pupils of the eyes, clear fluids draining from the nose, clear fluids draining from the ears, inability to awaken from sleep, weakness in fingers, weakness in toes, numbness in fingers, numbness in toes, loss of coordination, profound confusion, agitation, combativeness, unusual behavior, slurred speech, coma, disorders of consciousness, confused, disoriented, memory problems, concentration problems, mood changes, mood swings, feeling depressed, feeling anxious, difficulty sleeping, sleeping more than usual, ringing in the ears, blurred vision, fatigue, drowsiness, problems with speech, dizziness, loss of balance, change in eating habits, change in nursing habits, unusual irritability, easy irritability, persistent crying, inability to be consoled, change in ability to pay attention, change in sleep habits, sad mood, loss of interest in favorite toys, loss of interest in activities"
807,Travelers Diarrhea,"fever, bloody stools, severe pain, diarrhea, urgent need to defecate, abdominal cramps, nausea, vomiting, dehydration, watery stools"
808,Trichinosis,"high fever, chills, muscle pain, tenderness, aching joints, swelling of the eyelids, swelling of the face, weakness, headache, sensitivity to light, pink eye, conjunctivitis, itchy skin, fatigue, irritated skin, mild pain, diarrhea, abdominal pain, tiredness, nausea, vomiting"
809,Trichomoniasis,"burning, itching, pain with urination, pain with sex, discomfort over the lower stomach area, foul-smelling discharge from the vagina, irritation inside the penis, burning with urination or after ejaculation, discharge from the penis, genital redness"
810,Trichotillomania,"tension, anxiety, boredom, fatigue, frustration, hair loss, loneliness"
811,Tricuspid Atresia,"blue or gray skin, lips, difficulty breathing, tiring easily, ascites, sudden weight gain, swelling of the ankles, swelling of the feet, swelling of the belly area, slow growth, poor weight gain, fatigue, weakness, shortness of breath, swelling in the legs"
812,Tricuspid Valve Regurgitation,"fatigue, irregular heart rhythms (arrhythmias), pulsing in the neck, shortness of breath with activity, swelling in the belly area (abdomen), legs or neck veins"
813,Trigeminal Neuralgia,"pain, chewing, gums, cheek, jaw, lips, shooting pain, jabbing pain, electric shock, facial spasms"
814,Trigger Finger,"finger stiffness, triggering, popping or clicking sensation, tenderness, bump in the palm, finger catching or locking, finger locked in a bent position"
815,Triple X Syndrome,"epicanthal folds, widely spaced eyes, curved pinky fingers, flat feet, inward bowed breastbone, hypotonia, seizures, kidney problems, premature ovarian failure, anxiety, depression, fine motor skill problems, gross motor skill problems, adhd, autism spectrum disorder symptoms, psychological problems, difficulty with reading, learning disabilities, behavioral problems, delayed speech, delayed language skills"
816,Truncus Arteriosus,"blue or gray skin, excessive sleepiness, poor feeding, poor growth, pounding heartbeat, fast breathing, shortness of breath"
817,Tuberculosis,"abdominal pain, abnormal coloring of the retina, abnormal posture with flexed arms, straight legs, abnormal vaginal discharge with greenish, back pain, backward movement of food through the esophagus, possibly mouth (regurgitation), bleeding and swelling (rare) in the gums, blisters in or around the mouth, throat, blisters with oozing, crusting, bloating or abdominal gas, blood in the stool, blurred vision, breath-holding spells, chest pain, chest pain (angina), cholesterol deposits in the eyelids (xanthelasmas), chronic inflammation of the pancreas, chronic weight loss, confusion, constipation, convulsions (seizures), cough, cramping of one or both calves when walking, crusting of skin bumps, decreased facial expression due to weakness of facial muscles, dehydration, depressed or angry facial expression, difficulty breathing, difficulty doing basic tasks, difficulty lifting, difficulty pronouncing words, difficulty reaching above the shoulder level, difficulty solving problems or making decisions, difficulty swallowing liquids, solids, difficulty with running, discoloration (blue or black if skin is affected; red or bronze if the affected area is beneath the skin), drooping eyelids, dry eye, dry mouth, easy bruising, bleeding, easy scarring, poor wound healing, enlarged lymph nodes, excessive thirst, excitement or fear, extremely itchy bumps or blisters, eye blinking, failure to thrive, fast or irregular heartbeat, fatigue, fatty skin deposits called xanthomas over parts of the hands, fever with chills, sweating, headache behind the eyes, headache between the eyes, heartburn, high blood pressure, hoarseness, impaired growth in children, impaired heart function, inability to feel pain, changes in temperature, inability to whistle due to weakness of the cheek muscles, irritability, itching, joint pain, kidney failure, lack of coordination, lack of tears, long-term pelvic or low back pain, loss of appetite, loss of temperature regulation by the body, mouth twitching, muscle twitching, nasal congestion, nausea, vomiting, nose wrinkling, nosebleeds, numbness, tingling of hands or feet, overactive thyroid, pain in the abdomen, pain in throat, problems smiling, problems with gross motor coordination, problems with smell, rapid heart rate, rashes, redness over 80% to 90% of the body, runny nose, scaly skin patches, sharp, skin sores (lesions), small or shrunken thyroid gland, sore throat, squinting, sudden, sudden stroke-like symptoms such as trouble speaking, swallowing problems in infants, swelling of arms, swelling of legs, swollen lymph nodes in the neck, symptoms of nerve damage, symptoms of pelvic inflammatory disease (pid), thickened skin that looks puckered, unintentional weight loss, unusual sleepiness or tiredness, unusually smooth, urination changes, vomiting, vomiting blood, wide-set eyes with droopy eyelids, yellow deposits of fatty material in the skin called xanthomas, yellowing of skin, whites of the eyes (jaundice), back stiffness, blood_in_sputum, breathlessness, chest_pain, chills, cramping, diarrhea, drooping on one side of the face, excessive urination at night, grimacing, high_fever, knees, liver, loss_of_appetite, malaise, mild_fever, pale tongue surface, lack of taste buds, decrease in sense of taste, phlegm, reduced exercise ability, resulting in fainting, resulting in aspiration pneumonia or poor growth, severe confusion (delirium), such as little or no urine, such as loss of feeling in the feet or legs, sweating, swelled_lymph_nodes, weakness of an arm or leg, weight_loss, which may lead to eye sores or infections, which worsens when you breathe in deeply (pleurisy), yellow or foul smelling discharge, yellowing_of_eyes"
